FID;Shape *;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T7;T8;T9;sector;km2;Franja;F1;F2;F3;F4;nearX;nearY;COUNT_AVEN;LINK_2010;RC_DistAU;RCD_AUInv;RC_DistAV;RC_DistSb;RC_DistEV;RC_DistAc;RCD_ACInv;RC_PCol_H;LINK__2011;DENS10;POB10;VARON;MUJER;VIV10;HOG10;NBI10;NBI_H10;NO_VIV10;Z_NBI10;Z_BARON;Z_MUJER;Z_NBIH10;Z_NEDU10;Z_DESO10;Z_OCUP10;Z_INMI10;Z_NTEN10;NO_EDU10;DESOC10;OCUP10;INMIG10;NO_TEN10;HA_RC;MENOR17;PEA65;ADULTMAY;Z_MENOR17;Z_PEA65;Z_ADULTMAY;VIV1HOG;VIVMAS1HOG;NBI10_HA;INMIG10_HA;NO_TEN10_HA
480;Point;481;3;0;0;1;0;0;0;0;0;0;SUR;0,025902;1;1;0;0;0;106286,4;99492,87655;2;20040711;984,505066;0,001015739;137,894592;439,449582;150,784766;984,505066;0,001015739;0;20040711;45,705082;1277;496;781;231;212;33,0084;9,01;20,9979;0,025848;0,38841;0,61159;0,0425;0,07276;0,0385;0,6715;0,119;0,1462;92,913933;49,1645;857,5055;151,963;30,9944;27,925274;433;760;84;0,339076;0,595145;0,065779;178;10;1,182026003;5,441772926;1,109904956
538;Point;539;3;0;0;1;0;0;0;0;0;0;SUR;0,017119;1;1;0;0;0;106131,8719;99662,49539;1;20040711;761,479958;0,001313232;63,155908;446,690167;230,940561;761,479958;0,001313232;1;20040711;45,705082;1277;496;781;231;212;33,0084;9,01;20,9979;0,025848;0,38841;0,61159;0,0425;0,07276;0,0385;0,6715;0,119;0,1462;92,913933;49,1645;857,5055;151,963;30,9944;27,925274;433;760;84;0,339076;0,595145;0,065779;178;10;1,182026003;5,441772926;1,109904956
614;Point;615;3;0;0;1;0;0;0;0;0;0;SUR;0,018537;1;1;0;0;0;106096,7605;99795,17227;1;20040711;627,893616;0,001592626;67,648472;426,548043;115,763633;627,893616;0,001592626;1;20040711;45,705082;1277;496;781;231;212;33,0084;9,01;20,9979;0,025848;0,38841;0,61159;0,0425;0,07276;0,0385;0,6715;0,119;0,1462;92,913933;49,1645;857,5055;151,963;30,9944;27,925274;433;760;84;0,339076;0,595145;0,065779;178;10;1,182026003;5,441772926;1,109904956
656;Point;657;3;0;0;1;0;0;0;0;0;0;SUR;0,107661;1;1;0;0;0;106376,5964;99797,30173;1;20040711;731,094043;0,001367813;205,550305;687,598092;140,436356;731,094043;0,001367813;0;20040711;45,705082;1277;496;781;231;212;33,0084;9,01;20,9979;0,025848;0,38841;0,61159;0,0425;0,07276;0,0385;0,6715;0,119;0,1462;92,913933;49,1645;857,5055;151,963;30,9944;27,925274;433;760;84;0,339076;0,595145;0,065779;178;10;1,182026003;5,441772926;1,109904956
769;Point;770;3;0;0;1;0;0;0;0;0;0;SUR;0,109934;1;1;0;0;0;106331,9848;100049,4766;2;20040711;475,181968;0,002104457;126,947134;619,634095;0;475,181968;0,002104457;0;20040711;45,705082;1277;496;781;231;212;33,0084;9,01;20,9979;0,025848;0,38841;0,61159;0,0425;0,07276;0,0385;0,6715;0,119;0,1462;92,913933;49,1645;857,5055;151,963;30,9944;27,925274;433;760;84;0,339076;0,595145;0,065779;178;10;1,182026003;5,441772926;1,109904956
1935;Point;818;8;0;0;0;0;0;0;0;1;0;NORTE;0,015945;3;0;0;1;0;101204,4471;100210,5447;2;20061306;922,204911;0,001084358;79,259385;448,403617;709,754717;1050,269882;0,000952136;1;20061306;334,375;535;212;323;364;267;0,9879;0,9879;0;0,001847;0,396262;0,603738;0,0037;0,017544;0,031;0,6562;0,0523;0,0674;9,385965;16,585;351,067;27,9805;17,9958;1,598129;74;350;111;0,138318;0,654206;0,207477;265;1;0,618160361;17,50828625;11,2605428
1030;Point;1080;1;1;0;0;0;0;0;0;0;0;NORTE;0,011397;3;0;0;1;0;107609,8446;100922,4701;2;20012205;7,122351;0,140403078;24,874228;115,756287;0;7,122351;0,140403078;0;20012205;88,866799;447;178;269;250;186;0;0;0;0;0,39821;0,60179;0;0,013667;0,0386;0,7455;0,1432;0,2796;6,109341;17,2542;333,2385;64,0104;52,0056;5,023498;50;275;122;0,111857;0,615213;0,272931;182;2;0;12,74219677;10,35246754
1031;Point;1081;1;1;0;0;0;0;0;0;0;0;NORTE;0,008419;3;0;0;1;0;107564,1454;100935,9471;2;20012205;31,853106;0,031394113;16,453032;148,205732;0;31,853106;0,031394113;0;20012205;88,866799;447;178;269;250;186;0;0;0;0;0,39821;0,60179;0;0,013667;0,0386;0,7455;0,1432;0,2796;6,109341;17,2542;333,2385;64,0104;52,0056;5,023498;50;275;122;0,111857;0,615213;0,272931;182;2;0;12,74219677;10,35246754
1032;Point;1082;1;1;0;0;0;0;0;0;0;0;NORTE;0,011018;3;0;0;1;0;107526,9844;100917,2897;2;20012205;0,364576;2,742912315;21,249906;158,743576;3,248403;0,364576;2,742912315;0;20012205;88,866799;447;178;269;250;186;0;0;0;0;0,39821;0,60179;0;0,013667;0,0386;0,7455;0,1432;0,2796;6,109341;17,2542;333,2385;64,0104;52,0056;5,023498;50;275;122;0,111857;0,615213;0,272931;182;2;0;12,74219677;10,35246754
1034;Point;1084;1;1;0;0;0;0;0;0;0;0;NORTE;0,016999;3;0;0;1;0;107694,0192;100989,0275;0;20012205;92,537069;0,01080648;110,10174;182,748453;71,072449;92,537069;0,01080648;1;20012205;88,866799;447;178;269;250;186;0;0;0;0;0,39821;0,60179;0;0,013667;0,0386;0,7455;0,1432;0,2796;6,109341;17,2542;333,2385;64,0104;52,0056;5,023498;50;275;122;0,111857;0,615213;0,272931;182;2;0;12,74219677;10,35246754
