ID_AUPROP;OBJECTID;year;y2016;y2017;y2018;base;property_t;geonames_i;Latitud;Longitud;price;currency_;price_pArg;price_usd;Total_m2;usd_m2;floor;rooms;expenses;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T8;T9;sector;SN;SS;km2;Dist_AU25M;Franja;F1;F2;F3;F4;Dist_Aveni;PRD_AUInv;ParCol_Ha;Dist_EEVV;Dist_Subte;Dist_ac;PRD_ACInv
0;1953;2018;0;0;1;1801;store;3433918;-34,63525533;-58,47084756;190000;USD;3533620;190000;125;1520;NA;NA;NA;1633;9;0;0;0;0;0;0;0;0;NORTE;1;0;0,0148216;1176;3;0;0;1;0;129,1476134;0,00085034;1;627,358228;516,5681774;1391,277795;0,000718764
1;1961;2016;1;0;0;1601;apartment;3435257;-34,62602338;-58,38276574;38000;USD;606803;38000;25;1520;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
2;1962;2016;1;0;0;1602;apartment;3435257;-34,62602338;-58,38276574;38000;USD;606803;38000;25;1520;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
3;1975;2017;0;1;0;1701;PH;3435259;-34,62603535;-58,39732733;310000;USD;4950235;310000;200;1550;NA;5;NA;855;3;0;0;1;0;0;0;0;0;SUR;0;1;0,020592945;104;2;0;1;0;0;232,548439;0,009615385;1;246,7925451;325,4046593;103,707546;0,0096425
4;1976;2017;0;1;0;1702;PH;3435259;-34,62603535;-58,39732733;310000;USD;4950235;310000;200;1550;NA;5;NA;855;3;0;0;1;0;0;0;0;0;SUR;0;1;0,020592945;104;2;0;1;0;0;232,548439;0,009615385;1;246,7925451;325,4046593;103,707546;0,0096425
5;1977;2018;0;0;1;1801;apartment;3430570;-34,6101558;-58,3776166;279000;USD;5188842;279000;180;1550;NA;8;6200;1335;1;1;0;0;0;0;0;0;0;NORTE;1;0;0,016743523;968;4;0;0;0;1;150,9497385;0,001033058;1;221,8254514;195,2417152;968,37033;0,001032663
6;1978;2018;0;0;1;1802;apartment;3430570;-34,6101558;-58,3776166;279000;USD;5478165;279000;180;1550;NA;8;6200;1335;1;1;0;0;0;0;0;0;0;NORTE;1;0;0,016743523;968;4;0;0;0;1;150,9497385;0,001033058;1;221,8254514;195,2417152;968,37033;0,001032663
7;1991;2018;0;0;1;1801;apartment;3429153;-34,6205177;-58,4062398;124000;USD;2306152;124000;80;1550;NA;4;NA;1112;4;0;0;0;1;0;0;0;0;NORTE;1;0;0,016088802;635;3;0;0;1;0;120,0165112;0,001574803;1;371,7279964;458,9257914;635,485693;0,0015736
8;1992;2018;0;0;1;1802;apartment;3429153;-34,6205177;-58,4062398;124000;USD;2434740;124000;80;1550;NA;4;NA;1112;4;0;0;0;1;0;0;0;0;NORTE;1;0;0,016088802;635;3;0;0;1;0;120,0165112;0,001574803;1;371,7279964;458,9257914;635,485693;0,0015736
9;2003;2017;0;1;0;1701;PH;3436003;-34,6175583;-58,4197009;78000;USD;1245543;78000;50;1560;NA;NA;NA;1871;5;0;0;0;0;1;0;0;0;NORTE;1;0;0,013203111;1117;4;0;0;0;1;0,349748773;0,000895255;3;764,9078409;670,7454131;1116,641483;0,000895543
10;2004;2017;0;1;0;1702;PH;3436003;-34,6175583;-58,4197009;78000;USD;1245543;78000;50;1560;NA;NA;NA;1871;5;0;0;0;0;1;0;0;0;NORTE;1;0;0,013203111;1117;4;0;0;0;1;0,349748773;0,000895255;3;764,9078409;670,7454131;1116,641483;0,000895543
11;2016;2018;0;0;1;1802;house;3433918;-34,642636;-58,46558;315000;USD;6185025;315000;200;1575;NA;6;NA;92;9;0;0;0;0;0;0;0;0;NORTE;1;0;0,011018937;335;2;0;1;0;0;246,0520465;0,002985075;0;279,5537761;367,8803426;989,703196;0,001010404
12;2018;2018;0;0;1;1801;PH;3435257;-34,6314516;-58,3826322;63000;USD;1171674;63000;40;1575;NA;NA;1100;1669;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006979322;550;1;1;0;0;0;25,81517893;0,001818182;5;176,2500485;439,073946;606,733746;0,001648169
13;2019;2018;0;0;1;1802;PH;3435257;-34,6314516;-58,3826322;63000;USD;1237005;63000;40;1575;NA;NA;1100;1669;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006979322;550;1;1;0;0;0;25,81517893;0,001818182;5;176,2500485;439,073946;606,733746;0,001648169
14;2020;2017;0;1;0;1701;apartment;3428113;-34,6245839;-58,381363;63000;USD;0;63000;40;1575;NA;2;NA;1438;1;1;0;0;0;0;0;0;0;SUR;0;1;0,051835273;69;2;0;1;0;0;222,4420967;0,014492754;1;15,54464852;324,0785939;85,87009;0,011645498
15;2021;2017;0;1;0;1701;apartment;3429153;-34,6245839;-58,381363;63000;USD;0;63000;40;1575;NA;2;NA;1438;1;1;0;0;0;0;0;0;0;SUR;0;1;0,051835273;69;2;0;1;0;0;222,4420967;0,014492754;1;15,54464852;324,0785939;85,87009;0,011645498
16;2022;2017;0;1;0;1702;apartment;3428113;-34,6245839;-58,381363;63000;USD;0;63000;40;1575;NA;2;NA;1438;1;1;0;0;0;0;0;0;0;SUR;0;1;0,051835273;69;2;0;1;0;0;222,4420967;0,014492754;1;15,54464852;324,0785939;85,87009;0,011645498
17;2023;2017;0;1;0;1702;apartment;3429153;-34,6245839;-58,381363;63000;USD;0;63000;40;1575;NA;2;NA;1438;1;1;0;0;0;0;0;0;0;SUR;0;1;0,051835273;69;2;0;1;0;0;222,4420967;0,014492754;1;15,54464852;324,0785939;85,87009;0,011645498
18;2032;2018;0;0;1;1801;apartment;6693228;-34,609907;-58,384775;158000;USD;2938484;158000;100;1580;NA;NA;NA;1332;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,016812895;1028;4;0;0;0;1;68,92482268;0,000972763;1;236,3871859;191,656087;1027,844636;0,00097291
19;2033;2018;0;0;1;1802;apartment;6693228;-34,609907;-58,384775;158000;USD;3102330;158000;100;1580;NA;NA;NA;1332;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,016812895;1028;4;0;0;0;1;68,92482268;0,000972763;1;236,3871859;191,656087;1027,844636;0,00097291
20;2039;2017;0;1;0;1701;PH;3428113;-34,6207162;-58,3742611;159000;USD;0;159000;100;1590;NA;4;NA;1091;1;1;0;0;0;0;0;0;0;NORTE;1;0;0,017110145;227;3;0;0;1;0;136,4301308;0,004405286;0;155,3048981;535,8806667;234,612518;0,004262347
21;2040;2017;0;1;0;1702;PH;3428113;-34,6207162;-58,3742611;159000;USD;0;159000;100;1590;NA;4;NA;1091;1;1;0;0;0;0;0;0;0;NORTE;1;0;0,017110145;227;3;0;0;1;0;136,4301308;0,004405286;0;155,3048981;535,8806667;234,612518;0,004262347
22;2067;2018;0;0;1;1802;house;3430114;-34,6384237;-58,4132112;320000;USD;6283200;320000;200;1600;NA;NA;NA;1583;4;0;0;0;1;0;0;0;0;SUR;0;1;0,018045226;1231;1;1;0;0;0;1,148276669;0,000812348;1;171,6610494;324,5936802;1230,579058;0,000812626
23;2070;2018;0;0;1;1801;apartment;3430570;-34,6316742;-58,4116365;240000;USD;4463520;240000;150;1600;NA;NA;NA;642;4;0;0;0;1;0;0;0;0;SUR;0;1;0,026770925;517;1;1;0;0;0;143,9260587;0,001934236;0;639,1597231;785,7149648;667,794392;0,001497467
24;2071;2018;0;0;1;1802;apartment;3430570;-34,6316742;-58,4116365;240000;USD;4712400;240000;150;1600;NA;NA;NA;642;4;0;0;0;1;0;0;0;0;SUR;0;1;0,026770925;517;1;1;0;0;0;143,9260587;0,001934236;0;639,1597231;785,7149648;667,794392;0,001497467
25;2077;2017;0;1;0;1702;PH;3436003;-34,6235954;-58,4147915;160000;USD;2554960;160000;100;1600;NA;NA;NA;975;4;0;0;0;1;0;0;0;0;NORTE;1;0;0,009281633;395;3;0;0;1;0;133,703709;0,002531646;3;156,1867732;207,8618961;492,811881;0,002029172
26;2078;2018;0;0;1;1801;PH;3428113;-34,6229895;-58,3711623;160000;USD;2975680;160000;100;1600;NA;5;NA;1424;1;1;0;0;0;0;0;0;0;SUR;0;1;0,007929282;39;2;0;1;0;0;128,6208221;0,025641026;0;261,5376122;812,0057953;39,141263;0,025548486
27;2079;2018;0;0;1;1802;PH;3428113;-34,6229895;-58,3711623;160000;USD;3141600;160000;100;1600;NA;5;NA;1424;1;1;0;0;0;0;0;0;0;SUR;0;1;0,007929282;39;2;0;1;0;0;128,6208221;0,025641026;0;261,5376122;812,0057953;39,141263;0,025548486
28;2087;2017;0;1;0;1701;apartment;3436134;-34,625243;-58,37266;160000;USD;2554960;160000;100;1600;NA;4;NA;924;1;1;0;0;0;0;0;0;0;SUR;0;1;0,015772029;273;1;1;0;0;0;101,7103418;0,003663004;1;161,3099151;761,2855516;292,012378;0,003424512
29;2088;2017;0;1;0;1702;apartment;3436134;-34,625243;-58,37266;160000;USD;2554960;160000;100;1600;NA;4;NA;924;1;1;0;0;0;0;0;0;0;SUR;0;1;0,015772029;273;1;1;0;0;0;101,7103418;0,003663004;1;161,3099151;761,2855516;292,012378;0,003424512
30;2111;2016;1;0;0;1601;apartment;3436003;-34,6254543;-58,4161104;112000;USD;1788472;112000;70;1600;NA;NA;NA;870;5;0;0;0;0;1;0;0;0;NORTE;1;0;0,023354901;210;2;0;1;0;0;1,141375811;0,004761905;3;372,4709647;53,8613993;254,068753;0,003935942
31;2112;2016;1;0;0;1602;apartment;3436003;-34,6254543;-58,4161104;112000;USD;1788472;112000;70;1600;NA;NA;NA;870;5;0;0;0;0;1;0;0;0;NORTE;1;0;0,023354901;210;2;0;1;0;0;1,141375811;0,004761905;3;372,4709647;53,8613993;254,068753;0,003935942
32;2114;2016;1;0;0;1601;apartment;3430570;-34,610826;-58,384776;96000;USD;1532976;96000;60;1600;NA;2;NA;1332;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,016812895;934;4;0;0;0;1;170,5160762;0,001070664;3;264,8135504;241,4010317;933,878038;0,001070804
33;2115;2016;1;0;0;1602;apartment;3430570;-34,610826;-58,384776;96000;USD;1532976;96000;60;1600;NA;2;NA;1332;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,016812895;934;4;0;0;0;1;170,5160762;0,001070664;3;264,8135504;241,4010317;933,878038;0,001070804
34;2123;2017;0;1;0;1702;apartment;3430570;-34,62044833;-58,3859639;80000;USD;1277480;80000;50;1600;NA;NA;NA;1073;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,018825476;271;3;0;0;1;0;215,8790579;0,003690037;1;354,1441562;222,7202455;282,684211;0,003537516
35;2129;2018;0;0;1;1802;store;3430116;-34,6355324;-58,4369707;80000;USD;1570800;80000;50;1600;NA;NA;NA;372;7;0;0;0;0;0;0;1;0;SUR;0;1;0,012424536;510;1;1;0;0;0;70,78492116;0,001960784;1;192,9449199;689,5675843;696,581049;0,001435583
36;2131;2017;0;1;0;1702;apartment;3428113;-34,6198288;-58,3858935;80000;USD;1277480;80000;50;1600;NA;3;800;1128;2;0;1;0;0;0;0;0;0;NORTE;1;0;0,018282682;339;3;0;0;1;0;219,3245918;0,002949853;1;398,7107885;286,7764547;351,461049;0,002845266
37;2136;2017;0;1;0;1702;apartment;3429153;-34,618949;-58,3944713;80000;USD;1277480;80000;50;1600;NA;NA;1000;1156;3;0;0;1;0;0;0;0;0;NORTE;1;0;0,016347409;545;3;0;0;1;0;71,68722912;0,001834862;1;611,2268362;498,6348991;544,896978;0,001835209
38;2143;2018;0;0;1;1801;apartment;3429153;-34,62322617;-58,39780807;64000;USD;1190272;64000;40;1600;NA;1;NA;1454;3;0;0;1;0;0;0;0;0;NORTE;1;0;0,019580436;174;3;0;0;1;0;0,627770573;0,005747126;5;560,2797878;69,07656973;173,850852;0,005752057
39;2150;2018;0;0;1;1801;apartment;3435257;-34,625204;-58,379194;57600;USD;0;57600;36;1600;NA;NA;NA;962;1;1;0;0;0;0;0;0;0;SUR;0;1;0,02649966;87;2;0;1;0;0;94,54915471;0,011494253;3;139,38837;337,6535489;107,800429;0,009276401
40;2151;2018;0;0;1;1801;apartment;3435257;-34,625204;-58,379194;57600;USD;0;57600;36;1600;NA;NA;NA;962;1;1;0;0;0;0;0;0;0;SUR;0;1;0,02649966;87;2;0;1;0;0;94,54915471;0,011494253;3;139,38837;337,6535489;107,800429;0,009276401
41;2152;2018;0;0;1;1802;apartment;3435257;-34,625204;-58,379194;57600;USD;1130976;57600;36;1600;NA;NA;NA;962;1;1;0;0;0;0;0;0;0;SUR;0;1;0,02649966;87;2;0;1;0;0;94,54915471;0,011494253;3;139,38837;337,6535489;107,800429;0,009276401
42;2153;2018;0;0;1;1802;apartment;3435257;-34,625204;-58,379194;57600;USD;1130976;57600;36;1600;NA;NA;NA;962;1;1;0;0;0;0;0;0;0;SUR;0;1;0,02649966;87;2;0;1;0;0;94,54915471;0,011494253;3;139,38837;337,6535489;107,800429;0,009276401
43;2154;2016;1;0;0;1601;apartment;3435257;-34,62602338;-58,38276574;48000;USD;766488;48000;30;1600;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
44;2155;2016;1;0;0;1601;apartment;3435257;-34,62602338;-58,38276574;48000;USD;766488;48000;30;1600;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
45;2156;2016;1;0;0;1602;apartment;3435257;-34,62602338;-58,38276574;48000;USD;766488;48000;30;1600;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
46;2157;2016;1;0;0;1602;apartment;3435257;-34,62602338;-58,38276574;48000;USD;766488;48000;30;1600;NA;1;NA;842;2;0;1;0;0;0;0;0;0;SUR;0;1;0,006220234;230;2;0;1;0;0;103,5120832;0,004347826;3;57,95412194;215,0663647;229,997634;0,004347871
47;2158;2016;1;0;0;1601;apartment;3435257;-34,62597;-58,383818;48000;USD;766488;48000;30;1600;NA;1;NA;906;2;0;1;0;0;0;0;0;0;SUR;0;1;0,01985438;324;2;0;1;0;0;112,8122125;0,00308642;0;154,2493355;285,0553786;324,336284;0,00308322
48;2159;2016;1;0;0;1602;apartment;3435257;-34,62597;-58,383818;48000;USD;766488;48000;30;1600;NA;1;NA;906;2;0;1;0;0;0;0;0;0;SUR;0;1;0,01985438;324;2;0;1;0;0;112,8122125;0,00308642;0;154,2493355;285,0553786;324,336284;0,00308322
49;2185;2017;0;1;0;1701;PH;3433918;-34,6314792;-58,4711408;195000;USD;0;195000;120;1625;NA;4;1500;1665;9;0;0;0;0;0;0;0;0;NORTE;1;0;0,019696882;1490;4;0;0;0;1;158,8197537;0,000671141;5;226,1810182;162,1245802;1571,373747;0,000636386
