AU_Unidad;Tramo;sector;km2;Dist_AU25M;Franja;NOC_DBMIN;NOC_DBMAX;NOC_DBRANG;MEAN_NOC;DIU_DBMIN;DIU_DBMAX;DIU_DBRANG;MEAN_DIU;MEAN_MIN;MEAN_MAX;MEANTOT;OBJECTID;LINK_2010;DENS10;POB10;VIV10;HOG10;NBI10;INMIG10;AreaRadio;Varon;Mujer;Menor_Edad;Adult_Mayo;PEconAct;km2Rcensal;MUJ_KM2;MENOR_KM2;MAYOR_KM2;PEAC_KM2;INMIG_KM2;HNBI_KM2;MUJ_PROM;MEN_PROM;MAY_PROM;PEAC_PROM;INMIG_PROM;HNBI_PROM;AreaUnd_m2
1;9;SUR;0,002409593;1000;1;67,05863;72,05863;67-72;69,55863;72,114207;77,114207;72-77;74,614207;69,586419;74,586419;72,086419;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;2409,593048
2;9;SUR;0,007694035;1000;1;68,619651;73,619651;68-73;71,119651;73,721244;78,721244;73-78;76,221244;71,170447;76,170447;73,670447;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;7694,034803
3;9;SUR;0,000362689;900;1;65;70;65-70;67,5;70;75;70-75;72,5;67,5;72,5;70;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;362,689288
4;9;SUR;0,026725831;800;1;66,247795;71,247795;66-71;68,747795;71,241089;76,241089;71-76;73,741089;68,744442;73,744442;71,244442;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;26725,83108
5;9;SUR;0,013703722;700;1;63,620591;68,620591;63-68;66,120591;68,558617;73,558617;68-73;71,058617;66,089604;71,089604;68,589604;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;13703,72176
6;9;SUR;0,006622156;700;1;62,241328;67,241328;62-67;64,741328;67,238396;72,238396;67-72;69,738396;64,739862;69,739862;67,239862;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;6622,15556
7;9;SUR;0,006900206;700;1;62,901943;67,901943;62-67;65,401943;67,902016;72,902016;67-72;70,402016;65,401979;70,401979;67,901979;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;6900,205621
8;9;SUR;0,013909613;500;1;61,302638;66,302638;61-66;63,802638;66,172727;71,172727;66-71;68,672727;63,737683;68,737683;66,237683;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;13909,61282
9;9;SUR;0,008151297;600;1;61,908406;66,908406;61-66;64,408406;66,910517;71,910517;66-71;69,410517;64,409461;69,409461;66,909461;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;8151,296836
10;9;SUR;0,009047359;600;1;65,431567;70,431567;65-70;67,931567;70,452017;75,452017;70-75;72,952017;67,941792;72,941792;70,441792;3178;20071510;28,841274;1023;320;327;17,985;211,0449;35,447594;504;519;263;137;623;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,09743;0,146124;0,089051;0,097266;0,158498;0,073785;9047,358632
