OBJECTID;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T7;T8;T9;sector;km2;Dist_AU25M;Franja;nearX;nearY;stop_id;Cou_ParCol;Den_ParCol;NEAR_DIST;INVERT_DIS;dec1;dec2;dec3;dec4;dec5;dec6;dec7;dec8;dec9;dec10;COUNT_AVENIDA;M2_Unidad
1;1;9;0;0;0;0;0;0;0;0;1;SUR;0,0024;1000;1;100921,736;97651,858;0;0;0,0000;948,231284;0,001055;0;0;0;0;0;0;0;0;1;1;3;2409,593
2;2;9;0;0;0;0;0;0;0;0;1;SUR;0,0077;1000;1;100852,408;97637,043;0;0;0,0000;888,498094;0,001125;0;0;0;0;0;0;0;1;1;1;3;7694,035
3;3;9;0;0;0;0;0;0;0;0;1;SUR;0,0004;900;1;100805,864;97679,985;0;0;0,0000;866,567988;0,001154;0;0;0;0;0;0;0;1;1;1;1;362,689
4;4;9;0;0;0;0;0;0;0;0;1;SUR;0,0267;800;1;100687,925;97683,098;205031;1;0,3742;664,902164;0,001504;0;0;0;0;0;0;1;1;1;1;3;26725,831
5;5;9;0;0;0;0;0;0;0;0;1;SUR;0,0137;700;1;100528,701;97729,039;0;0;0,0000;527,839401;0,001895;0;0;0;0;0;1;1;1;1;1;0;13703,722
6;6;9;0;0;0;0;0;0;0;0;1;SUR;0,0066;700;1;100583,904;97782,690;0;0;0,0000;569,767459;0,001755;0;0;0;0;0;1;1;1;1;1;0;6622,156
7;7;9;0;0;0;0;0;0;0;0;1;SUR;0,0069;700;1;100623,661;97819,635;0;0;0,0000;592,980161;0,001686;0;0;0;0;0;1;1;1;1;1;1;6900,206
8;8;9;0;0;0;0;0;0;0;0;1;SUR;0,0139;500;1;100428,096;97821,791;0;0;0,0000;396,620410;0,002521;0;0;0;0;1;1;1;1;1;1;0;13909,613
9;9;9;0;0;0;0;0;0;0;0;1;SUR;0,0082;600;1;100488,487;97874,995;0;0;0,0000;437,934859;0,002283;0;0;0;0;1;1;1;1;1;1;0;8151,297
10;10;9;0;0;0;0;0;0;0;0;1;SUR;0,0090;600;1;100536,211;97915,733;0;0;0,0000;464,481840;0,002153;0;0;0;0;1;1;1;1;1;1;1;9047,359
11;11;9;0;0;0;0;0;0;0;0;1;SUR;0,0140;400;1;100326,334;97914,591;206321;1;0,7165;265,390951;0,003768;0;0;0;1;1;1;1;1;1;1;0;13957,359
12;12;9;0;0;0;0;0;0;0;0;1;SUR;0,0092;400;1;100389,472;97970,622;0;0;0,0000;306,128046;0,003267;0;0;0;1;1;1;1;1;1;1;0;9202,660
13;13;9;0;0;0;0;0;0;0;0;1;SUR;0,0130;300;2;100228,178;98004,127;206321;1;0,7673;142,720379;0,007007;0;0;1;1;1;1;1;1;1;1;0;13033,313
