AU_Unidad;Tramo;sector;km2;Dist_AU25M;Franja;AU_Unida_1;SUBT_DIST;EV_DIST;HurPers_16;HurAut_16;Robo_16;Total_16;HurPers_17;HurAut_17;Robo_17;Total_17;HurPers_18;HurAut_18;Robo_18;Total_18;NOC_DBMIN;NOC_DBMAX;NOC_DBRANG;MEAN_NOC;DIU_DBMIN;DIU_DBMAX;DIU_DBRANG;MEAN_DIU;MEAN_MIN;MEAN_MAX;MEANTOT;OBJECTID;LINK_2010;DENS10;POB10;VIV10;HOG10;NBI10;INMIG10;AreaRadio;Varon;Mujer;Menor_Edad;Adult_Mayo;PEconAct;km2Rcensal;MUJ_KM2;MENOR_KM2;MAYOR_KM2;PEAC_KM2;INMIG_KM2;HNBI_KM2;MUJ_PROM;MEN_PROM;MAY_PROM;PEAC_PROM;INMIG_PROM;HNBI_PROM;AreaUnd_m2
1;9;SUR;0,00240959305;1000;1;1,000000;1000,000000;25,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;67,058630;72,058630;67-72;69,558630;72,114207;77,114207;72-77;74,614207;69,586419;74,586419;72,086419;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;2409,593048
2;9;SUR;0,00769403480;1000;1;2,000000;1000,000000;25,000000;3,000000;0,000000;7,000000;10,000000;0,000000;0,000000;2,000000;2,000000;0,000000;0,000000;0,000000;0,000000;68,619651;73,619651;68-73;71,119651;73,721244;78,721244;73-78;76,221244;71,170447;76,170447;73,670447;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;7694,034803
3;9;SUR;0,00036268929;900;1;3,000000;1000,000000;25,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;65,000000;70,000000;65-70;67,500000;70,000000;75,000000;70-75;72,500000;67,500000;72,500000;70,000000;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;362,689288
4;9;SUR;0,02672583108;800;1;4,000000;750,000000;200,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;3,000000;3,000000;0,000000;0,000000;8,000000;8,000000;66,247795;71,247795;66-71;68,747795;71,241089;76,241089;71-76;73,741089;68,744442;73,744442;71,244442;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;26725,831082
5;9;SUR;0,01370372176;700;1;5,000000;750,000000;300,000000;0,000000;0,000000;1,000000;1,000000;0,000000;1,000000;0,000000;1,000000;2,000000;0,000000;2,000000;4,000000;63,620591;68,620591;63-68;66,120591;68,558617;73,558617;68-73;71,058617;66,089604;71,089604;68,589604;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;13703,721761
6;9;SUR;0,00662215556;700;1;6,000000;750,000000;300,000000;0,000000;0,000000;1,000000;1,000000;1,000000;0,000000;0,000000;1,000000;1,000000;0,000000;0,000000;1,000000;62,241328;67,241328;62-67;64,741328;67,238396;72,238396;67-72;69,738396;64,739862;69,739862;67,239862;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;6622,155560
7;9;SUR;0,00690020562;700;1;7,000000;750,000000;300,000000;1,000000;2,000000;5,000000;8,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000;1,000000;62,901943;67,901943;62-67;65,401943;67,902016;72,902016;67-72;70,402016;65,401979;70,401979;67,901979;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;6900,205621
8;9;SUR;0,01390961282;500;1;8,000000;600,000000;400,000000;1,000000;0,000000;0,000000;1,000000;0,000000;0,000000;1,000000;1,000000;1,000000;0,000000;1,000000;2,000000;61,302638;66,302638;61-66;63,802638;66,172727;71,172727;66-71;68,672727;63,737683;68,737683;66,237683;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;13909,612819
9;9;SUR;0,00815129684;600;1;9,000000;600,000000;400,000000;0,000000;1,000000;0,000000;1,000000;0,000000;1,000000;0,000000;1,000000;0,000000;1,000000;0,000000;1,000000;61,908406;66,908406;61-66;64,408406;66,910517;71,910517;66-71;69,410517;64,409461;69,409461;66,909461;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;8151,296836
10;9;SUR;0,00904735863;600;1;10,000000;600,000000;400,000000;1,000000;0,000000;1,000000;2,000000;1,000000;0,000000;1,000000;2,000000;0,000000;1,000000;2,000000;3,000000;65,431567;70,431567;65-70;67,931567;70,452017;75,452017;70-75;72,952017;67,941792;72,941792;70,441792;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;9047,358632
11;9;SUR;0,01395735879;400;1;11,000000;600,000000;400,000000;0,000000;0,000000;4,000000;4,000000;0,000000;0,000000;3,000000;3,000000;0,000000;0,000000;1,000000;1,000000;59,789048;64,789048;59-64;62,289048;64,771754;69,771754;64-69;67,271754;62,280401;67,280401;64,780401;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;13957,358788
12;9;SUR;0,00920266031;400;1;12,000000;600,000000;400,000000;0,000000;0,000000;4,000000;4,000000;1,000000;1,000000;1,000000;3,000000;1,000000;0,000000;2,000000;3,000000;59,666725;64,666725;59-64;62,166725;64,608721;69,608721;64-69;67,108721;62,137723;67,137723;64,637723;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;9202,660308
13;9;SUR;0,01303331334;300;2;13,000000;500,000000;300,000000;0,000000;1,000000;6,000000;7,000000;0,000000;0,000000;3,000000;3,000000;1,000000;0,000000;3,000000;4,000000;61,790114;66,790114;61-66;64,290114;66,679939;71,679939;66-71;69,179939;64,235027;69,235027;66,735027;3118,000000;20071502,000000;70,568783;1067,000000;302,000000;360,000000;51,984000;263,015500;15,110684;509,000000;558,000000;220,000000;175,000000;672,000000;0,151107;3692,747523;1455,921963;1158,119743;4447,179813;1740,591104;344,021124;0,245733;0,286741;0,266845;0,246120;0,463376;0,500299;13033,313340
14;9;SUR;0,01041005092;500;1;14,000000;600,000000;400,000000;0,000000;3,000000;6,000000;9,000000;1,000000;0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;62,360509;67,360509;62-67;64,860509;67,354855;72,354855;67-72;69,854855;64,857682;69,857682;67,357682;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;10410,050917
15;9;SUR;0,00948105335;300;2;15,000000;500,000000;300,000000;2,000000;1,000000;3,000000;6,000000;0,000000;1,000000;2,000000;3,000000;0,000000;0,000000;1,000000;1,000000;60,419867;65,419867;60-65;62,919867;65,376849;70,376849;65-70;67,876849;62,898358;67,898358;65,398358;3118,000000;20071502,000000;70,568783;1067,000000;302,000000;360,000000;51,984000;263,015500;15,110684;509,000000;558,000000;220,000000;175,000000;672,000000;0,151107;3692,747523;1455,921963;1158,119743;4447,179813;1740,591104;344,021124;0,245733;0,286741;0,266845;0,246120;0,463376;0,500299;9481,053345
16;9;SUR;0,01438072853;1100;1;16,000000;1000,000000;300,000000;0,000000;0,000000;1,000000;1,000000;1,000000;1,000000;0,000000;2,000000;7,000000;1,000000;21,000000;29,000000;64,378470;69,378470;64-69;66,878470;69,330082;74,330082;69-74;71,830082;66,854276;71,854276;69,354276;3129,000000;20071608,000000;104,734848;1106,000000;380,000000;352,000000;12,988800;164,019800;10,551924;535,000000;571,000000;270,000000;125,000000;711,000000;0,105519;5411,347719;2558,780883;1184,620779;6738,122992;1554,410106;123,094419;0,360096;0,503947;0,272951;0,372907;0,413811;0,179012;14380,728530
17;9;SUR;0,03502839762;600;1;17,000000;600,000000;400,000000;2,000000;2,000000;7,000000;11,000000;6,000000;3,000000;10,000000;19,000000;5,000000;4,000000;8,000000;17,000000;63,891581;68,891581;63-68;66,391581;68,915480;73,915480;68-73;71,415480;66,403531;71,403531;68,903531;3177,000000;20071509,000000;348,000000;1218,000000;386,000000;397,000000;10,004400;98,049000;3,499310;566,000000;652,000000;275,000000;196,000000;747,000000;0,034993;18632,297888;7858,714600;5601,120224;21347,126568;2801,960392;285,897179;1,239880;1,547759;1,290568;1,181412;0,745931;0,415771;35028,397623
18;9;SUR;0,22532763437;1000;1;18,000000;750,000000;300,000000;4,000000;2,000000;36,000000;42,000000;7,000000;1,000000;12,000000;20,000000;0,000000;1,000000;6,000000;7,000000;65,518999;70,518999;65-70;68,018999;70,558535;75,558535;70-75;73,058535;68,038767;73,038767;70,538767;3178,000000;20071510,000000;28,841274;1023,000000;320,000000;327,000000;17,985000;211,044900;35,447594;504,000000;519,000000;263,000000;137,000000;623,000000;0,354476;1464,132974;741,940216;386,485968;1757,523782;595,371478;50,736862;0,097430;0,146124;0,089051;0,097266;0,158498;0,073785;225327,634366
