AU_UNIDAD;M2SMP; R_M2Edif; Cdire_M2Edif; Sact_M2Edif; Auto_M2Edif; Otros_M2Edif;  SupEdifM2; R_Mixta; R_Cou; Cdire_Cou; Sact_Cou; Auto_Cou; Otros_Cou; Tot_Cou_usos
4;17373,93713;0;0;0;0;0;0;0;0;0;0;0;2;2
5;9581,448208;4641,190476;34,66666667;369,6666667;1000,009524;4678,466667;10724;0,57473545;25;1;3;10;13;52
6;4037,0246;3118,416667;0;0;643,5833333;0;3762;0,847222222;24;0;0;10;0;34
7;3912,740814;2092,333333;36,33333333;42;551,3333333;483;3205;0,648550725;20;1;2;10;2;35
8;10078,35307;3766,333333;0;0;1062,333333;3363,333333;8192;0,605263158;28;0;0;12;11;51
9;5443,476216;3297,9;0;87;486,3;377,8;4249;0,778333333;27;0;1;8;5;41
10;5707,148345;2452,333333;0;0;1657,833333;1065,833333;5176;0,646551724;21;0;0;11;5;37
11;10124,22489;5424,166667;122,5;474;1694;1251,333333;8966;0,731196581;36;1;4;17;5;63
12;6341,68977;4515,833333;0;0;855,1666667;0;5371;0,840909091;33;0;0;12;0;45
13;9424,703353;4099,5;43,5;109,5;1481,25;1793,25;7527;0,647058824;30;1;2;13;7;53
14;6912,768225;1283,75;0;40;354,25;3140;4818;0,473958333;10;0;1;5;6;22
15;6698,900233;3499;123,3333333;350;547,6666667;2156;6676;0,767857143;27;2;4;8;2;43
16;9597,161279;5960,433333;0;97;955,8333333;1104,733333;8118;0,787254902;32;0;1;12;4;49
17;26023,30132;0;0;0;0;0;0;0;1;0;0;0;1;2
18;200802,9663;0;0;0;0;26448;26448;0;0;0;0;0;2;2
19;8696,758238;4538,9;51,66666667;295,75;656,7666667;307,9166667;5851;0,754444444;28;1;5;7;3;44
20;7532,902341;3127,5;1005,083333;121,6666667;2166,75;516;6937;0,657738095;27;5;3;13;6;54
21;9315,412435;4788;57;209;939,8333333;847,1666667;6841;0,74122807;33;1;2;8;7;51
22;9974,808413;3990,566667;1672,1;1733,85;1169,883333;2065,6;10632;0,666666667;14;3;4;8;8;37
23;10917,53128;5922;107;169,25;1550,75;0;7749;0,71875;21;1;2;8;1;33
24;11235,80768;4101,833333;448,5833333;509,75;1252;7895,833333;14208;0,628571429;28;6;5;12;9;60
